CPUID,NOP
2546,38
1748,38
1710,38
1672,38
1672,38
1710,38
1672,38
1710,38
1672,38
1672,38
1710,38
1937,38
1672,38
1710,38
1748,38
1672,38
1672,38
1672,38
1672,38
1937,38
1672,38
1672,38
1862,38
1672,38
1672,38
1671,38
1900,38
1672,38
1672,38
1976,38
1672,38
1672,38
1672,38
1672,38
1672,38
1710,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1710,38
1672,38
1900,38
1672,38
1709,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1710,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1709,38
1672,38
1672,38
1672,38
1672,38
1709,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
1672,38
2090,38
1672,38
1938,38
1672,38
1672,38
